type,country,state,activity,sex,age,fatal,time,species,year,month
Unprovoked,bahamas,staniel cay,swimming,m,12.0,N,afternoon,,,6
Unprovoked,usa,florida,swimming,f,17.0,N,morning,,,6
Unprovoked,australia,new south wales,swimming,f,35.0,N,morning,great white,,6
Unprovoked,galapogos islands,santa fe island,swimming,f,,N,afternoon,,,6
Unprovoked,usa,florida,swimming,,,N,morning,bull,,6
Unprovoked,australia,western australia,dive fishing,m,35.0,Y,morning,great white,,6
Unprovoked,brazil,recife,swimming,f,19.0,N,afternoon,tiger,,6
Unprovoked,brazil,jaboatao dos guarapes,swimming,m,11.0,N,afternoon,bull,,6
Unprovoked,australia,new south wales,surfing/bodyboarding,,20.0,N,evening,bull,,5
Unprovoked,usa,hawaii,surfing/bodyboarding,m,38.0,N,morning,,,5
Unprovoked,australia,queensland,dive fishing,m,39.0,Y,morning,bull,,5
Unprovoked,hawaii,maui,small watercraft,,,N,,tiger,,5
Unprovoked,australia,western australia,diving,m,38.0,Y,morning,great white,,5
Unprovoked,australia,south australia,surfing/bodyboarding,m,16.0,N,,bronze whaler,,4
Unprovoked,bahamas,andros island,swimming,f,22.0,N,evening,,,3
Unprovoked,australia,south australia,diving,m,,N,,great white,,3
Unprovoked,australia,new south wales,surfing/bodyboarding,m,,N,,,,3
Unprovoked,usa,california,surfing/bodyboarding,m,39.0,N,evening,great white,,3
Unprovoked,australia,western australia,swimming,f,,N,morning,,,3
Unprovoked,australia,western australia,SUP/foiling,m,,N,morning,great white,,3
Unprovoked,australia,queensland,swimming,,,N,morning,,,3
Unprovoked,new caledonia,noumea,SUP/foiling,m,55.0,Y,,tiger,,2
Unprovoked,cayman islands,little cayman island,diving,m,,N,,tiger,,2
Unprovoked,brazil,recife,swimming,m,13.0,Y,,tiger,,1
Unprovoked,australia,new south wales,surfing/bodyboarding,m,,N,morning,,,1
Unprovoked,australia,tasmania,swimming,f,,N,evening,sevengill,,1
Unprovoked,australia,new south wales,surfing/bodyboarding,m,39.0,N,morning,bull,,1
Unprovoked,australia,new south wales,surfing/bodyboarding,m,11.0,N,morning,bull,,1
Unprovoked,australia,new south wales,surfing/bodyboarding,m,27.0,N,evening,,,1
Unprovoked,australia,new south wales,swimming,m,12.0,Y,afternoon,bull,,1
Unprovoked,usa,california,surfing/bodyboarding,m,26.0,N,morning,great white,,1
Unprovoked,australia,new south wales,surfing/bodyboarding,m,,N,morning,,,1
Unprovoked,us virgin islands,fredricksted island st croix,swimming,f,56.0,Y,afternoon,,,1
Unprovoked,mozambique,inhambe province,diving,m,,Y,,,,1
Unprovoked,mozambique,inhambe province,,,,Y,,,,12
Unprovoked,australia,western australia,diving,m,,N,,great white,,12
Unprovoked,usa,california,swimming,f,55.0,Y,afternoon,great white,,12
Unprovoked,usa,sonoma county california,surfing/bodyboarding,m,,N,morning,great white,,12
Unprovoked,australia,new south wales,swimming,m,26.0,N,morning,bull,,11
Unprovoked,australia,new south wales,swimming,f,25.0,Y,morning,bull,,11
Unprovoked,australia,western australia,SUP/foiling,m,61.0,N,evening,great white,,11
Unprovoked,french polynesia,marquesas islands,swimming,m,40.0,N,,,,11
Unprovoked,usa,hawaii,swimming,m,,N,afternoon,,,11
Unprovoked,usa,texas,fishing,m,,N,,,,11
Unprovoked,samoa,nan,surfing/bodyboarding,m,13.0,N,evening,tiger,,11
Unprovoked,columbia,"bolivar, del isolate",swimming,m,14.0,N,,nurse,,10
